"pedigree","parent1","parent2","yield","twt","prot","ht"
"MN11059/MN10220","MN11059","MN10220",73.2783197,63.982431532858,14.3103709218178,78.4789688051024
"MN11059/MN10245","MN11059","MN10245",84.415040905,63.132431532858,13.3603709218178,82.3289688051024
"MN11059/MN10279","MN11059","MN10279",89.840623035,62.082431532858,13.9603709218178,77.4789688051024
"MN11059/MN10288","MN11059","MN10288",87.213499055,63.932431532858,14.3103709218178,80.7789688051024
"MN11059/MN10289","MN11059","MN10289",86.728052235,63.432431532858,14.3103709218178,79.9789688051024
"MN11059/MN10292","MN11059","MN10292",85.357378855,64.632431532858,14.1103709218178,79.9789688051024
"MN11059/MN10318","MN11059","MN10318",86.413939585,62.932431532858,14.6603709218178,81.9789688051024
"MN11059/MN10328","MN11059","MN10328",80.61713342,63.482431532858,14.9103709218178,80.9789688051024
"MN11059/MN10336","MN11059","MN10336",87.042164885,62.982431532858,15.2603709218178,80.1289688051024
"MN11059/MN10369","MN11059","MN10369",78.075676525,63.232431532858,14.5603709218178,78.3289688051024
"MN11059/MN10378","MN11059","MN10378",88.355726875,63.082431532858,14.1603709218178,78.9789688051024
"MN11059/MN10382","MN11059","MN10382",81.61658276,63.832431532858,14.1603709218178,78.4789688051024
"MN11059/MN10389","MN11059","MN10389",87.07072058,62.632431532858,13.8603709218178,79.6289688051024
"MN11059/MN10412","MN11059","MN10412",85.7000472,63.482431532858,14.1103709218178,80.3289688051024
"MN11059/MN10431","MN11059","MN10431",83.072923225,63.432431532858,14.8603709218178,82.1289688051024
"MN11059/MN09028","MN11059","MN09028",83.27281309,63.232431532858,14.3603709218178,84.3289688051024
"MN11059/MN09136","MN11059","MN09136",85.471601635,62.932431532858,14.9603709218178,77.3289688051024
"MN11059/MN09175","MN11059","MN09175",88.641283825,63.232431532858,14.6603709218178,83.9789688051024
"MN11059/MN09229","MN11059","MN09229",82.330475145,63.082431532858,15.1103709218178,79.4789688051024
"MN11059/MN09245","MN11059","MN09245",87.841724355,63.482431532858,14.9603709218178,83.6289688051024
"MN11059/MN09246","MN11059","MN09246",91.23985211,63.932431532858,14.2603709218178,79.9789688051024
"MN11059/Glenn","MN11059","Glenn",79.075125865,64.532431532858,14.3603709218178,84.6289688051024
"MN11059/Norden","MN11059","Norden",79.217904345,63.282431532858,14.9603709218178,80.9789688051024
"MN11059/Linkert","MN11059","Linkert",76.33377911,62.582431532858,15.0103709218178,76.3289688051024
"MN11059/Oklee","MN11059","Oklee",85.15748899,63.332431532858,14.7603709218178,82.6289688051024
"MN11059/Prosper","MN11059","Prosper",90.35462555,62.982431532858,13.7603709218178,85.9789688051024
"MN11059/MN11029","MN11059","MN11029",83.64403713,63.132431532858,14.1603709218178,80.4789688051024
"MN11059/MN11052","MN11059","MN11052",81.188247325,62.432431532858,15.1103709218178,83.3289688051024
"MN11059/MN11064","MN11059","MN11064",86.64238515,62.232431532858,13.8603709218178,76.1289688051024
"MN11059/MN11101","MN11059","MN11101",84.84337634,63.932431532858,14.0603709218178,78.3289688051024
"MN11059/MN11188","MN11059","MN11188",83.815371305,61.882431532858,14.5603709218178,80.9789688051024
"MN11059/MN11234","MN11059","MN11234",85.471601635,62.932431532858,14.2603709218178,80.3289688051024
"MN11059/MN11315","MN11059","MN11315",76.476557585,61.682431532858,15.0603709218178,79.3289688051024
"MN11059/MN11328","MN11059","MN11328",80.41724355,62.082431532858,14.4103709218178,77.9789688051024
"MN11059/MN11439","MN11059","MN11439",80.47435494,63.582431532858,14.6603709218178,82.4789688051024
"MN11059/MN11469","MN11059","MN11469",86.413939585,62.632431532858,13.7103709218178,79.1289688051024
"MN11059/MN11013","MN11059","MN11013",77.333228445,62.982431532858,15.0603709218178,79.9789688051024
"MN11059/MN11076","MN11059","MN11076",80.074575205,62.932431532858,14.5103709218178,76.6289688051024
"MN11059/MN11174","MN11059","MN11174",87.38483323,63.632431532858,13.8603709218178,78.8289688051024
"MN11059/MN11194","MN11059","MN11194",82.95870044,62.582431532858,14.7603709218178,79.1289688051024
"MN11059/MN11197","MN11059","MN11197",80.90269037,63.332431532858,14.3603709218178,76.8289688051024
"MN11059/MN11252","MN11059","MN11252",85.785714285,62.782431532858,13.7603709218178,78.4789688051024
